timestamp,real_step,pH,T_C,NH3_pct,mode,actual_risk,rb_risk,fql_risk,dqn_risk,rb_correct,fql_correct,dqn_correct,fql_steps,epsilon,bandwidth_mbps,latency_ms,jitter_ms
2026-05-29 01:42:39,1,7.552,25.0,1.9812,RB,1,1,1,-1,1,1,-1,1,0.2999,1.3e-05,0.0,0.321
2026-05-29 01:42:41,2,7.502,25.0,1.7696,RB,1,1,1,-1,1,1,-1,2,0.2997,2.2e-05,8.58,0.113
2026-05-29 01:42:43,3,7.53,25.0,1.8852,RB,1,1,0,-1,1,0,-1,3,0.2996,6.6e-05,11.43,0.0
2026-05-29 01:42:45,4,7.507,25.0,1.7897,RB,1,1,3,-1,1,0,-1,4,0.2994,8.2e-05,12.3,0.0
2026-05-29 01:42:47,5,7.535,25.0,1.9066,RB,1,1,2,-1,1,0,-1,5,0.2993,8.4e-05,12.41,2.535
2026-05-29 01:42:49,6,7.535,25.0,1.9066,RB,1,1,1,-1,1,1,-1,6,0.2991,8.3e-05,8.65,4.062
2026-05-29 01:42:51,7,7.524,25.0,1.8598,RB,1,1,1,-1,1,1,-1,7,0.299,7.1e-05,7.86,4.775
2026-05-29 01:42:53,8,7.547,25.0,1.959,RB,1,1,1,-1,1,1,-1,8,0.2988,7.1e-05,6.09,5.22
2026-05-29 01:42:55,9,7.474,25.0,1.6609,RB,1,1,1,-1,1,1,-1,9,0.2987,7.9e-05,9.38,5.66
2026-05-29 01:42:57,10,7.547,25.0,1.959,RB,1,1,1,-1,1,1,-1,10,0.2985,8e-05,8.67,5.703
2026-05-29 01:42:59,11,7.502,25.0,1.7696,RB,1,1,1,-1,1,1,-1,11,0.2984,9.7e-05,11.42,6.07
2026-05-29 01:43:01,12,7.535,25.0,1.9066,RB,1,1,1,-1,1,1,-1,12,0.2982,9.5e-05,7.39,5.615
2026-05-29 01:43:03,13,7.53,25.0,1.8852,RB,1,1,1,-1,1,1,-1,13,0.2981,8.2e-05,11.45,5.78
2026-05-29 01:43:05,14,7.513,25.0,1.8141,RB,1,1,3,-1,1,0,-1,14,0.2979,0.000101,11.03,6.371
2026-05-29 01:43:07,15,7.547,25.0,1.959,RB,1,1,1,-1,1,1,-1,15,0.2978,0.000105,9.06,7.006
2026-05-29 01:43:09,16,7.491,25.0,1.7261,RB,1,1,1,-1,1,1,-1,16,0.2976,0.000115,9.02,7.163
2026-05-29 01:43:11,17,7.547,25.0,1.959,RB,1,1,3,-1,1,0,-1,17,0.2975,0.000113,9.49,7.58
2026-05-29 01:43:13,18,7.491,25.0,1.7261,RB,1,1,1,-1,1,1,-1,18,0.2973,0.0001,8.82,7.432
2026-05-29 01:43:15,19,7.524,25.0,1.8598,RB,1,1,1,-1,1,1,-1,19,0.2972,0.000127,10.05,6.743
2026-05-29 01:43:17,20,7.547,25.0,1.959,RB,1,1,1,-1,1,1,-1,20,0.297,0.000123,9.01,6.783
2026-05-29 01:43:19,21,7.496,25.0,1.7457,RB,1,1,2,-1,1,0,-1,21,0.2969,9e-05,10.22,7.037
2026-05-29 01:43:21,22,7.547,25.0,1.959,RB,1,1,1,-1,1,1,-1,22,0.2967,0.000101,12.51,6.345
2026-05-29 01:43:23,23,7.524,25.0,1.8598,RB,1,1,1,-1,1,1,-1,23,0.2966,0.00011,10.63,6.501
2026-05-29 01:43:25,24,7.491,25.0,1.7261,RB,1,1,1,-1,1,1,-1,24,0.2964,0.000108,7.99,6.517
2026-05-29 01:43:27,25,7.547,25.0,1.959,RB,1,1,1,-1,1,1,-1,25,0.2963,0.00011,6.88,6.271
2026-05-29 01:43:29,26,7.541,25.0,1.9326,RB,1,1,1,-1,1,1,-1,26,0.2961,0.000102,4.63,5.922
2026-05-29 01:43:31,27,7.502,25.0,1.7696,RB,1,1,1,-1,1,1,-1,27,0.296,8.1e-05,7.58,6.16
2026-05-29 01:43:33,28,7.558,25.0,2.0082,RB,1,1,0,-1,1,0,-1,28,0.2958,9e-05,9.05,5.867
2026-05-29 01:43:35,29,7.547,25.0,1.959,RB,1,1,1,-1,1,1,-1,29,0.2957,0.000104,8.45,5.911
2026-05-29 01:43:37,30,7.496,25.0,1.7457,RB,1,1,1,-1,1,1,-1,30,0.2955,9.6e-05,9.99,5.88
2026-05-29 01:43:39,31,7.552,25.0,1.9812,RB,1,1,3,-1,1,0,-1,31,0.2954,7.8e-05,10.66,5.639
2026-05-29 01:43:41,32,7.547,25.0,1.959,RB,1,1,2,-1,1,0,-1,32,0.2952,7.6e-05,7.6,6.039
2026-05-29 01:43:43,33,7.491,25.0,1.7261,RB,1,1,1,-1,1,1,-1,33,0.2951,7.8e-05,7.23,6.031
2026-05-29 01:43:45,34,7.547,25.0,1.959,RB,1,1,3,-1,1,0,-1,34,0.2949,8.9e-05,9.12,5.689
2026-05-29 01:43:47,35,7.547,25.0,1.959,RB,1,1,1,-1,1,1,-1,35,0.2948,9.4e-05,6.62,5.724
2026-05-29 01:43:49,36,7.491,25.0,1.7261,RB,1,1,1,-1,1,1,-1,36,0.2946,9.9e-05,5.74,5.864
2026-05-29 01:43:51,37,7.547,25.0,1.959,RB,1,1,1,-1,1,1,-1,37,0.2945,0.000116,6.14,5.843
2026-05-29 01:43:53,38,7.547,25.0,1.959,RB,1,1,1,-1,1,1,-1,38,0.2944,0.000128,8.51,5.797
2026-05-29 01:43:55,39,7.491,25.0,1.7261,RB,1,1,1,-1,1,1,-1,39,0.2942,0.000119,8.78,5.512
2026-05-29 01:43:57,40,7.541,25.0,1.9326,RB,1,1,1,-1,1,1,-1,40,0.2941,0.00013,10.25,5.659
